iter	Logloss
0	0.6318344187
1	0.6136054444
2	0.5655080648
3	0.5251973088
4	0.5008126387
5	0.4852446287
6	0.469690625
7	0.466754848
8	0.4536079704
9	0.4440657081
10	0.4360514713
11	0.4148030919
12	0.383527522
13	0.372135614
14	0.3506458453
15	0.3344274434
16	0.3269004525
17	0.3141374547
18	0.3031355144
19	0.3031204796
20	0.2945353261
21	0.2921673899
22	0.286292335
23	0.2815234136
24	0.2726895699
25	0.2689414127
26	0.2553712857
27	0.2546838136
28	0.2411206357
29	0.2372791312
30	0.2368061507
31	0.2341433072
32	0.2311452128
33	0.2275494558
34	0.2272458989
35	0.2217234391
36	0.2186360885
37	0.2159347574
38	0.2109860329
39	0.2064820309
40	0.1968341446
41	0.1944118656
42	0.1942478972
43	0.1920867112
44	0.1833696175
45	0.1815937275
46	0.1814563705
47	0.1798398299
48	0.1796916276
49	0.1795620309
50	0.1762819282
51	0.176161365
52	0.1731352647
53	0.170341214
54	0.1677541128
55	0.1653521709
56	0.1652225026
57	0.1651073784
58	0.164077684
59	0.1639568608
60	0.1617891946
61	0.1609062988
62	0.153815962
63	0.1519065805
64	0.1501161681
65	0.1437328106
66	0.1420897989
67	0.1405419777
68	0.1390811984
69	0.1389452258
70	0.1388235309
71	0.1330895981
72	0.1278336394
73	0.1230049297
74	0.1217066561
75	0.1212420277
76	0.1200363228
77	0.1188910884
78	0.1145296068
79	0.114412136
80	0.1103913232
81	0.1066747754
82	0.1032321767
83	0.1031297545
84	0.09993596196
85	0.09958813712
86	0.09860214429
87	0.09766162276
88	0.09756327455
89	0.09463386178
90	0.09433723502
91	0.09346522846
92	0.09075685321
93	0.08822959796
94	0.0858670068
95	0.08506422581
96	0.08497512543
97	0.08277403639
98	0.0820153821
99	0.07995977234
