iter	Logloss
0	0.6589603196
1	0.6459551401
2	0.6285497786
3	0.623686379
4	0.6153503642
5	0.5937375748
6	0.5804917335
7	0.5641744821
8	0.5356464811
9	0.5292703775
10	0.5171423187
11	0.4934320084
12	0.4902016619
13	0.4858476302
14	0.4781124263
15	0.4732686431
16	0.4689742525
17	0.463052884
18	0.4552568108
19	0.4497810509
20	0.4055562949
21	0.382611107
22	0.3704495524
23	0.3670406972
24	0.3522351274
25	0.3468685049
26	0.3447980503
27	0.3345185159
28	0.3212890001
29	0.3106961551
30	0.306846816
31	0.2931543566
32	0.2691006872
33	0.2652086683
34	0.2609666949
35	0.2571644275
36	0.2536794686
37	0.2504781823
38	0.2435460748
39	0.2353752535
40	0.2293825228
41	0.2220572502
42	0.2209907636
43	0.2181244793
44	0.2154501306
45	0.2088276115
46	0.2063158582
47	0.2009012183
48	0.1951485076
49	0.1899979694
50	0.1853705857
51	0.180026934
52	0.1748323292
53	0.1703781811
54	0.1663391445
55	0.1622352163
56	0.1607566738
57	0.1572836658
58	0.155974962
59	0.1547307104
60	0.1535463916
61	0.1524178908
62	0.1486877169
63	0.1446845327
64	0.1413393696
65	0.1403114524
66	0.137227002
67	0.1343487273
68	0.1309873936
69	0.1279446847
70	0.1254032037
71	0.1226966294
72	0.1218959327
73	0.1196025566
74	0.117203761
75	0.11501052
76	0.1140798776
77	0.1133357228
78	0.1124459148
79	0.1117373353
80	0.109755526
81	0.1088873213
82	0.1070483495
83	0.1064312521
84	0.1055845089
85	0.1050326648
86	0.1033567882
87	0.1018788262
88	0.1010503541
89	0.1005174573
90	0.09907252211
91	0.09857876235
92	0.0972560833
93	0.09643093779
94	0.09453905358
95	0.09278184686
96	0.09233013817
97	0.09069552458
98	0.09005013113
99	0.08880253009
