iter	Logloss	Accuracy
119	0.3777893986	0.8596730245
120	0.376947884	0.8596730245
121	0.3761113633	0.8610354223
122	0.375420791	0.8623978202
123	0.3747076407	0.8623978202
124	0.3738603589	0.863760218
125	0.373052158	0.8651226158
126	0.372553867	0.863760218
127	0.3718505353	0.863760218
128	0.3709421798	0.8623978202
129	0.3701671687	0.8623978202
130	0.3694702576	0.863760218
131	0.3687464711	0.8623978202
132	0.3680365698	0.8623978202
133	0.3674121195	0.863760218
134	0.366696686	0.8623978202
135	0.3659644882	0.863760218
136	0.3654551834	0.8623978202
137	0.3648435644	0.863760218
138	0.3644767856	0.863760218
139	0.3640769336	0.8651226158
140	0.3636441008	0.8651226158
141	0.3629568298	0.8678474114
142	0.3624668891	0.8678474114
143	0.3618970439	0.8678474114
144	0.3612457338	0.8678474114
145	0.3607852702	0.8678474114
146	0.3602388489	0.8678474114
147	0.3596464846	0.8678474114
148	0.3589642462	0.8678474114
149	0.3581962899	0.8678474114
150	0.3575469712	0.8664850136
151	0.357028235	0.8678474114
152	0.3564289279	0.8692098093
153	0.3557792856	0.8692098093
154	0.3554945206	0.8705722071
155	0.3549482249	0.8705722071
156	0.3545383402	0.8719346049
157	0.3542244758	0.8732970027
158	0.3536684656	0.8719346049
159	0.3532055064	0.8719346049
160	0.3529683014	0.8719346049
161	0.3525144068	0.8746594005
162	0.3521355602	0.8719346049
163	0.3515415131	0.8732970027
164	0.3510187251	0.8746594005
165	0.3507273944	0.8746594005
166	0.3501887711	0.8760217984
167	0.3496258312	0.8760217984
168	0.3487512034	0.8732970027
169	0.3484564684	0.8746594005
170	0.3480300339	0.8746594005
171	0.3477465162	0.8746594005
172	0.34750028	0.8760217984
173	0.3469966806	0.8746594005
174	0.3465441186	0.8746594005
175	0.3462925355	0.8746594005
176	0.3458674554	0.8746594005
177	0.3453964645	0.8746594005
178	0.3449757106	0.8732970027
179	0.3445961512	0.8746594005
180	0.3442211437	0.8746594005
181	0.3436546514	0.8746594005
182	0.3434221251	0.8746594005
183	0.3431281287	0.8746594005
184	0.3428853591	0.8746594005
185	0.3425156752	0.8746594005
186	0.3421719503	0.8746594005
187	0.3419693382	0.8773841962
188	0.3415745145	0.878746594
189	0.3412583424	0.8773841962
190	0.34076015	0.8773841962
191	0.340274948	0.878746594
192	0.3398056695	0.878746594
193	0.3393677446	0.878746594
194	0.3388982832	0.878746594
195	0.3386184864	0.878746594
196	0.3381778426	0.878746594
197	0.337573903	0.878746594
198	0.3370125257	0.878746594
199	0.3368250697	0.878746594
