iter	Logloss
0	0.6485006973
1	0.6269345917
2	0.5799303634
3	0.545308351
4	0.5452705674
5	0.4914767304
6	0.4424999729
7	0.4180982356
8	0.3976412362
9	0.3937228392
10	0.3581399914
11	0.3393689316
12	0.3393546466
13	0.3121073273
14	0.2993835263
15	0.2993591065
16	0.2838672115
17	0.2745639823
18	0.266333805
19	0.2663234091
20	0.2595157341
21	0.2493460588
22	0.2378722905
23	0.2376303977
24	0.229945464
25	0.2244930026
26	0.2164202623
27	0.2071095606
28	0.1986514187
29	0.1913792802
30	0.184739192
31	0.1808492012
32	0.1808199048
33	0.1791003305
34	0.1790827987
35	0.1722906435
36	0.1675138684
37	0.157666645
38	0.1476487709
39	0.1452024652
40	0.1406793608
41	0.1370384444
42	0.1342080166
43	0.1323002004
44	0.1284945759
45	0.1268040465
46	0.1228274998
47	0.119026575
48	0.1164244927
49	0.1146733812
50	0.1123483694
51	0.1070154286
52	0.1055589553
53	0.1041836475
54	0.1022795767
55	0.100507305
56	0.09885422009
57	0.09741903212
58	0.09581285328
59	0.09431656839
60	0.09291809559
61	0.09160834198
62	0.09037923766
63	0.08803052511
64	0.08702308783
65	0.08642916541
66	0.0853532673
67	0.08357807348
68	0.08258150883
69	0.08163896993
70	0.08116555902
71	0.08029012031
72	0.07870659375
73	0.07788498377
74	0.07642458241
75	0.07564987645
76	0.07450228932
77	0.07377204973
78	0.07307605817
79	0.07241190329
80	0.07138058294
81	0.07135592383
82	0.06972644029
83	0.06911805892
84	0.0685371788
85	0.06851512009
86	0.06849510111
87	0.06704178192
88	0.06382407782
89	0.06331963569
90	0.0628020597
91	0.06230875389
92	0.06183788407
93	0.06113711363
94	0.06060331315
95	0.05999381302
96	0.05951631903
97	0.0585425989
98	0.05808972652
99	0.05765316867
